"wv,m",B
0.00000138,3.58E+02
0.000001382,3.55E+02
0.000001384,3.55E+02
0.000001386,3.53E+02
0.000001388,3.53E+02
0.00000139,3.51E+02
0.000001392,3.51E+02
0.000001394,3.49E+02
0.000001396,3.49E+02
0.000001398,3.49E+02
0.0000014,3.43E+02
0.000001402,3.44E+02
0.000001404,3.43E+02
0.000001406,3.43E+02
0.000001408,3.43E+02
0.00000141,3.42E+02
0.000001412,3.35E+02
0.000001414,3.38E+02
0.000001416,3.39E+02
0.000001418,3.39E+02
0.00000142,3.36E+02
0.000001422,3.32E+02
0.000001424,3.31E+02
0.000001426,3.28E+02
0.000001428,3.29E+02
0.00000143,3.26E+02
0.000001432,3.30E+02
0.000001434,3.28E+02
0.000001436,3.29E+02
0.000001438,3.28E+02
0.00000144,3.19E+02
0.000001442,3.19E+02
0.000001444,3.20E+02
0.000001446,3.22E+02
0.000001448,3.22E+02
0.00000145,3.19E+02
0.000001452,3.15E+02
0.000001454,3.14E+02
0.000001456,3.13E+02
0.000001458,3.17E+02
0.00000146,3.16E+02
0.000001462,3.12E+02
0.000001464,3.11E+02
0.000001466,3.11E+02
0.000001468,3.11E+02
0.00000147,3.10E+02
0.000001472,3.07E+02
0.000001474,3.03E+02
0.000001476,3.05E+02
0.000001478,3.04E+02
0.00000148,3.07E+02
0.000001482,3.04E+02
0.000001484,3.04E+02
0.000001486,3.03E+02
0.000001488,2.86E+02
0.00000149,3.02E+02
0.000001492,3.02E+02
0.000001494,3.03E+02
0.000001496,2.97E+02
0.000001498,2.99E+02
0.0000015,3.01E+02
0.000001502,2.92E+02
0.000001504,2.80E+02
0.000001506,2.85E+02
0.000001508,2.92E+02
0.00000151,2.95E+02
0.000001512,2.91E+02
0.000001514,2.88E+02
0.000001516,2.88E+02
0.000001518,2.88E+02
0.00000152,2.87E+02
0.000001522,2.82E+02
0.000001524,2.84E+02
0.000001526,2.85E+02
0.000001528,2.85E+02
0.00000153,2.77E+02
0.000001532,2.82E+02
0.000001534,2.78E+02
0.000001536,2.81E+02
0.000001538,2.77E+02
0.00000154,2.73E+02
0.000001542,2.75E+02
0.000001544,2.78E+02
0.000001546,2.77E+02
0.000001548,2.71E+02
0.00000155,2.71E+02
0.000001552,2.73E+02
0.000001554,2.68E+02
0.000001556,2.67E+02
0.000001558,2.69E+02
0.00000156,2.68E+02
0.000001562,2.70E+02
0.000001564,2.67E+02
0.000001566,2.65E+02
0.000001568,2.63E+02
0.00000157,2.65E+02
0.000001572,2.67E+02
0.000001574,2.61E+02
0.000001576,2.54E+02
0.000001578,2.55E+02
0.00000158,2.65E+02
0.000001582,2.59E+02
0.000001584,2.59E+02
0.000001586,2.60E+02
0.000001588,2.49E+02
0.00000159,2.41E+02
0.000001592,2.53E+02
0.000001594,2.58E+02
0.000001596,2.51E+02
0.000001598,2.55E+02
0.0000016,2.51E+02
0.000001602,2.49E+02
0.000001604,2.50E+02
0.000001606,2.48E+02
0.000001608,2.49E+02
0.00000161,2.40E+02
0.000001612,2.43E+02
0.000001614,2.45E+02
0.000001616,2.37E+02
0.000001618,2.42E+02
0.00000162,2.37E+02
0.000001622,2.38E+02
0.000001624,2.42E+02
0.000001626,2.40E+02
0.000001628,2.42E+02
0.00000163,2.39E+02
0.000001632,2.39E+02
0.000001634,2.36E+02
0.000001636,2.36E+02
0.000001638,2.27E+02
0.00000164,2.26E+02
0.000001642,2.27E+02
0.000001644,2.28E+02
0.000001646,2.29E+02
0.000001648,2.29E+02
0.00000165,2.27E+02
0.000001652,2.27E+02
0.000001654,2.26E+02
0.000001656,2.26E+02
0.000001658,2.25E+02
